City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,mossel bay,-34.1831,22.146,289.11,81,28,2.91,ZA,1706499749
131,kudahuvadhoo,2.6708,72.8944,300.78,78,30,6.67,MV,1706499749
132,remire-montjoly,4.9167,-52.2667,298.17,94,75,1.03,GF,1706499749
133,dwarka,22.2394,68.9678,295.28,72,66,2.04,IN,1706499750
134,lebu,-37.6167,-73.65,286.75,80,0,7.5,CL,1706499095
135,benghazi,32.1167,20.0667,286.35,67,66,6.37,LY,1706499750
136,kargasok,59.0556,80.8572,256.46,96,99,4.02,RU,1706499750
137,novoagansk,61.9449,76.6625,255.93,97,100,2.59,RU,1706499750
138,mahdia,35.5047,11.0622,282.12,83,8,0.27,TN,1706499750
139,aconibe,1.2968,10.9369,293.87,96,57,1.15,GQ,1706499750
140,oppdal,62.5943,9.6912,274.64,83,90,3.85,NO,1706499750
141,lianzhou,24.7811,112.3825,284.36,84,100,0.62,CN,1706499751
142,kabinda,-6.1333,24.4833,292.46,97,100,1.37,CD,1706499751
143,sola,-13.8833,167.55,301.31,73,100,4.62,VU,1706499751
144,kodinsk,58.6881,99.1844,248.99,92,29,0.93,RU,1706499751
145,ventspils,57.3894,21.5606,276.11,100,40,7.72,LV,1706499751
146,tindouf,27.6711,-8.1474,283.4,29,0,2.57,DZ,1706499751
147,hermanus,-34.4187,19.2345,291.37,83,99,2.82,ZA,1706499116
148,yung shue wan,22.2333,114.1167,290.16,83,100,1.79,HK,1706499752
149,mawu,29.5923,107.3139,282.31,64,96,0.03,CN,1706499752
150,chonchi,-42.6128,-73.8092,282.71,93,0,1.2,CL,1706499752
151,cuajinicuilapa,16.4667,-98.4167,297.05,77,17,1.01,MX,1706499752
152,utrik,11.2278,169.8474,298.77,70,100,5.99,MH,1706499269
153,northam,51.0333,-4.2167,286.85,93,100,5.59,GB,1706499752
154,la passe,45.5549,-0.8967,283.28,93,99,6.0,FR,1706499205
155,coquimbo,-29.9533,-71.3436,291.0,88,100,1.03,CL,1706499191
156,susuman,62.7833,148.1667,237.03,96,81,0.89,RU,1706499243
157,salmon arm,50.6998,-119.3024,277.28,100,100,1.03,CA,1706499753
158,bamboo flat,11.7,92.7167,301.2,78,75,4.12,IN,1706499753
159,santana,-0.0583,-51.1817,300.25,89,0,2.06,BR,1706499753
160,wahpeton,46.2652,-96.6059,273.55,100,0,2.57,US,1706499457
161,gorontalo,0.5412,123.0595,304.81,59,90,2.28,ID,1706499753
162,salalah,17.0151,54.0924,297.2,78,75,1.03,OM,1706499224
163,ibarreta,-25.2144,-59.8585,295.6,53,22,2.48,AR,1706499754
164,veinticinco de mayo,-35.4323,-60.1727,291.59,64,68,3.76,AR,1706499754
165,san pedro,14.35,121.0167,302.21,59,75,3.09,PH,1706499718
166,aykhal,66.0,111.5,253.52,57,98,3.12,RU,1706499754
167,klyuchi,52.2667,79.1667,254.16,96,84,2.8,RU,1706499247
168,berlin,52.5244,13.4105,276.11,78,0,2.57,DE,1706499272
169,longyearbyen,78.2186,15.6401,262.06,79,0,3.6,SJ,1706499240
